100 WEST 78 New York, NY 10024
137 WEST 25TH STREET                      New York, NY 10001
154 EAST BROADWAY New York, NY 10002
215 W 92 New York, NY 10025
41 RIVINGTON STREET                       New York, NY 10002
140 NASSAU STREET New York, NY 10038
353 EAST 19TH STREET                      New York, NY 10003
546 EAST 87TH   STREET                    New York, NY 10128
256 10TH AVENUE                           New York, NY 10001
13 GRAMERCY PARK SOUTH New York, NY 10003
84 FORSYTH STREET                         New York, NY 10002
508 EAST 78TH STREET New York, NY 10075
101 WEST 79TH   STREET                    New York, NY 10024
305 CHERRY STREET                         New York, NY 10002
117 EAST 10TH STREET New York, NY 10003
73 MONROE ST                              New York, NY 10002
485 CENTRAL PARK WEST New York, NY 10025
66 EAST 79TH   STREET New York, NY 10075
403 EAST 73RD   STREET                    New York, NY 10021
1413 YORK AVENUE                          New York, NY 10021
414 EAST 10TH STREET New York, NY 10009
131 AVENUE B New York, NY 10009
180 RIVERSIDE DRIVE New York, NY 10024
41-43 DIVISION STREET                     New York, NY 10002
860 PARK AVENUE New York, NY 10075
20 WEST 90TH STREET New York, NY 10024
50 WEST 106TH New York, NY 10025
639 WEST END AVENUE New York, NY 10025
515 EAST 85TH   STREET New York, NY 10028
27 ESSEX STREET                           New York, NY 10002
509 WEST 122 New York, NY 10027
201 EAST 83RD STREET New York, NY 10028
225 LAFAYETTE STREET New York, NY 10012
310 WEST 97TH   STREET New York, NY 10025
30 EAST 85TH   STREET                     New York, NY 10028
580 8TH AVENUE                            New York, NY 10018
59 JOHN STREET New York, NY 10038
103 EAST 84TH STREET New York, NY 10028
832 BROADWAY New York, NY 10003
107 WEST 109 STREET                       New York, NY 10025
104 WEST 87TH STREET New York, NY 10024
200 EAST 61 STREET New York, NY 10065
55 WEST 95TH STREET                       New York, NY 10025
135 WEST 79TH   STREET New York, NY 10024
12-14 EAST 64TH STREET New York, NY 10065
250 WEST 94 New York, NY 10025
47 MAC DOUGAL STREET New York, NY 10012
404 EAST 14TH   STREET New York, NY 10009
131 MERCER STREET                         New York, NY 10012
30 WEST 90TH   STREET                     New York, NY 10024
161 EAST 88TH   STREET New York, NY 10128
43 CROSBY STREET                          New York, NY 10012
26 EAST 10TH STREET New York, NY 10003
300 EAST 62ND   STREET New York, NY 10065
177 EAST 73RD   STREET New York, NY 10021
230 SULLIVAN STREET                       New York, NY 10012
220 EAST 94TH   STREET                    New York, NY 10128
295 LAFAYETTE STREET                      New York, NY 10012
127 WEST 82ND STREET New York, NY 10024
520 EAST 76TH STREET New York, NY 10021
165 EAST 72ND STREET New York, NY 10021
337 EAST 82ND   STREET                    New York, NY 10028
309 EAST 87TH ST New York, NY 10128
85 1 AVENUE New York, NY 10003
333 EAST 95TH   STREET                    New York, NY 10128
40 EAST 19 STREET New York, NY 10003
201 E 80TH STREET                         New York, NY 10075
257 CENTRAL PARK WEST New York, NY 10024
371 WEST 120TH STREET New York, NY 10027
430 EAST 77 STREET New York, NY 10075
225 RECTOR PLACE                          New York, NY 10280
445 EAST 86TH STREET New York, NY 10028
101 WEST 79TH ST                          New York, NY 10024
25 WEST 89TH STREET                       New York, NY 10024
113 GREENE STREET New York, NY 10012
1802 2 AVENUE                             New York, NY 10128
131 EAST 93RD STREET New York, NY 10128
110 2 AVENUE                              New York, NY 10003
200 E 16TH ST New York, NY 10003
161 EAST 79TH STREET New York, NY 10075
268 WEST 84TH                             New York, NY 10024
344 EAST 87TH   STREET New York, NY 10128
111 EAST 75TH STREET New York, NY 10021
2280 FREDERICK DOUGLASS B New York, NY 10027
203 WEST 81ST   STREET                    New York, NY 10024
224 EAST 95TH   STREET New York, NY 10128
641 BROADWAY                              New York, NY 10012
239 EAST 79TH STREET New York, NY 10075
15 W 84TH ST New York, NY 10024
21 EAST 87TH STREET New York, NY 10128
130 BEEKMAN STREET                        New York, NY 10038
25 EAST 86TH STREET New York, NY 10028
203 WEST 102ND STREET New York, NY 10025
344 WEST 121ST STREET                     New York, NY 10027
370 RIVERSIDE DRIVE New York, NY 10025
827 BROADWAY New York, NY 10003
51 EAST 78TH STREET New York, NY 10075
1355 1ST AVENUE                           New York, NY 10021
115 DELANCEY STREET                       New York, NY 10002
515 E. 72 STREET                          New York, NY 10021
771 WEST END AVENUE New York, NY 10025
1148 FIFTH AVENUE New York, NY 10128
433 EAST 74TH STREET                      New York, NY 10021
139 EAST 79 STREET New York, NY 10075
1687 3 AVENUE                             New York, NY 10128
151 FIRST AVENUE New York, NY 10003
985 AMSTERDAM AVENUE New York, NY 10025
20 WEST 84TH   STREET                     New York, NY 10024
122 EAST 82ND ST New York, NY 10028
145 2 AVENUE                              New York, NY 10003
223 WEST 78TH   STREET                    New York, NY 10024
1760 2 AVENUE New York, NY 10128
112 WEST 87TH STREET                      New York, NY 10024
440 WEST 31ST   STREET                    New York, NY 10001
77 WEST 127 STREET                        New York, NY 10027
222 EAST 80TH New York, NY 10075
57 EAST 75TH STREET New York, NY 10021
425 E. 63RD STREET New York, NY 10065
1 EAST 66TH STREET New York, NY 10065
236&238 EAST 15TH STREET                  New York, NY 10003
114 EAST 84TH STREET New York, NY 10028
150 EAST 61ST STREET New York, NY 10065
308 EAST 72ND   STREET                    New York, NY 10021
169 WEST 85TH   STREET                    New York, NY 10024
340 EAST 80 STREET New York, NY 10075
33 PARK ROW                               New York, NY 10038
875 WEST END AVENUE New York, NY 10025
427 EAST 12TH   STREET                    New York, NY 10009
15 WEST 84TH   STREET New York, NY 10024
565 WEST END AVENUE New York, NY 10024
159 WEST 126 STREET                       New York, NY 10027
180 EAST 79TH   STREET                    New York, NY 10075
188 EAST 70TH STREET                      New York, NY 10021
492 MANHATTAN AVENUE                      New York, NY 10027
147 WEST 126TH STREET                     New York, NY 10027
124 WEST HOUSTON STREET                   New York, NY 10012
733 EAST 9TH STREET                       New York, NY 10009
40 EAST 84 STREET New York, NY 10028
317 WEST 93 STREET New York, NY 10025
361 CENTRAL PARK WEST New York, NY 10025
345 E 69TH ST New York, NY 10021
WEST 126 STREET                           New York, NY 10027
936 5 AVENUE                              New York, NY 10021
127 EAST 62ND STREET                      New York, NY 10065
417 E 90TH STREET New York, NY 10128
160 WEST 130TH STREET                     New York, NY 10027
261 WEST 28TH   STREET New York, NY 10001
58 WEST 87TH   STREET                     New York, NY 10024
67 AVENUE C New York, NY 10009
1760 2ND AVENUE                           New York, NY 10128
385 GRAND STREET New York, NY 10002
114 EAST 90TH STREET New York, NY 10128
73-75 SULLIVAN STREET                     New York, NY 10012
235 EAST 73RD   STREET New York, NY 10021
229 EAST 81ST   STREET New York, NY 10028
420 RIVERSIDE DRIVE New York, NY 10025
201 EAST 77TH   STREET                    New York, NY 10075
480 CENTRAL PARK WEST                     New York, NY 10025
186 WEST 80TH STREET                      New York, NY 10024
16 EAST 11TH STREET New York, NY 10003
29 CONVENT AVENUE New York, NY 10027
1199 PARK AVENUE New York, NY 10128
237 EAST 88TH STREET New York, NY 10128
855 AVENUE OF THE AMER                    New York, NY 10001
262 ELIZABETH STREET                      New York, NY 10012
130 WEST 86 STREET New York, NY 10024
111 FOURTH AVENUE New York, NY 10003
233 EAST 17TH STREET New York, NY 10003
425 CENTRAL PARK WEST New York, NY 10025
98 SUFFOLK STREET New York, NY 10002
203 EAST 13TH   STREET                    New York, NY 10003
181 EAST 73 STREET New York, NY 10021
301 WEST 108TH New York, NY 10025
955 LEXINGTON AVENUE                      New York, NY 10021
22 EAST 95TH STREET New York, NY 10128
6 RIVINGTON ST New York, NY 10002
265 WEST 90TH STREET                      New York, NY 10024
239 EAST 78TH STREET                      New York, NY 10075
284 5 AVENUE New York, NY 10001
241 WEST 97TH STREET New York, NY 10025
20 EAST 84TH STREET New York, NY 10028
435 EAST 87TH   STREET                    New York, NY 10128
527 CATHEDRAL PARKWAY New York, NY 10025
84 MERCER STREET New York, NY 10012
140 EAST 81ST STREET New York, NY 10028
40 EAST 66TH   STREET                     New York, NY 10065
145 EAST 76TH STREET                      New York, NY 10021
1571 THIRD AVENUE                         New York, NY 10128
82 UNIVERSITY PLACE                       New York, NY 10003
342 EAST 8TH   STREET New York, NY 10009
514 CATHEDRAL PARKWAY New York, NY 10025
404 E 66TH STREET New York, NY 10065
114 WEST 131 STREET                       New York, NY 10027
11 FIFTH AVE New York, NY 10003
240 WEST 98 STREET New York, NY 10025
30 WEST 90TH STREET                       New York, NY 10024
164 WEST 79TH STREET New York, NY 10024
362 SAINT NICHOLAS AVENU New York, NY 10027
352 EAST 13TH   STREET                    New York, NY 10003
501 EAST 79TH ST. New York, NY 10075
738 BROADWAY New York, NY 10003
78 IRVING PLACE                           New York, NY 10003
221 EAST 10TH   STREET                    New York, NY 10003
275 WEST 96 ST New York, NY 10025
103 MORNINGSIDE AVENUE                    New York, NY 10027
227 LENOX AVENUE                          New York, NY 10027
151 WOOSTER STREET                        New York, NY 10012
400 EAST 77TH STREET New York, NY 10075
36 HORATIO STREET New York, NY 10012
212 EAST 77TH STREET New York, NY 10075
21 BOND STREET New York, NY 10012
139 WOOSTER STREET                        New York, NY 10012
133 WEST 95 STREET New York, NY 10025
200 EAST END AVENUE New York, NY 10128
17 EAST 79TH STREET                       New York, NY 10075
160 EAST 65TH STREET New York, NY 10065
350 WEST 39TH   STREET                    New York, NY 10018
406 EAST 73RD   STREET New York, NY 10021
201 E 66                                  New York, NY 10065
170 CLAREMONT AVENUE New York, NY 10027
155 EAST 91 STREET New York, NY 10128
838 5 AVENUE                              New York, NY 10065
22 EAST 88TH STREET New York, NY 10128
190 RIVERSIDE DRIVE                       New York, NY 10024
107 WEST 86TH STREET New York, NY 10024
35 WEST 92ND   STREET New York, NY 10025
533 EAST 13TH STREET New York, NY 10009
137 EAST 15TH STREET New York, NY 10003
425 EAST 79 STREET New York, NY 10075
910 5TH AVENUE New York, NY 10021
316 WEST 101 STREET                       New York, NY 10025
152 SPRING STREET                         New York, NY 10012
338 EAST 67TH STREET New York, NY 10065
240 EAST 10TH   STREET                    New York, NY 10003
211 WEST 29TH   STREET                    New York, NY 10001
220 EAST 12TH STREET New York, NY 10003
100 WEST 81ST STREET New York, NY 10024
220 THIRD AVENUE                          New York, NY 10003
317 WEST 89TH   STREET New York, NY 10024
120 WEST 132 STREET                       New York, NY 10027
16 WEST 123 STREET                        New York, NY 10027
330 EAST 75 ST                            New York, NY 10021
114 WEST 80TH   STREET New York, NY 10024
250 EAST 65TH STREET New York, NY 10065
511 EAST 78TH   STREET New York, NY 10075
135 WEST 4TH   STREET                     New York, NY 10012
530 MANHATTAN AVENUE New York, NY 10027
35 WEST 90 STREET New York, NY 10024
110 WEST 130 STREET                       New York, NY 10027
943 COLUMBUS AVENUE                       New York, NY 10025
178 SPRING STREET                         New York, NY 10012
135 E 71ST STREET New York, NY 10021
23 E 10TH STREET New York, NY 10003
204 WEST 132 STREET                       New York, NY 10027
123 EAST 74TH STREET New York, NY 10021
632 WEST END AVENUE New York, NY 10024
315 WEST 86TH New York, NY 10024
3149 BROADWAY                             New York, NY 10027
410 WEST END AVENUE New York, NY 10024
226 EAST 12TH STREET New York, NY 10003
107 WEST 82ND STREET New York, NY 10024
64 EAST 66TH STREET                       New York, NY 10065
372 CENTRAL PARK WEST                     New York, NY 10025
301 E 63RD ST New York, NY 10065
1 WEST 81ST STREET New York, NY 10024
391 9 AVENUE                              New York, NY 10001
122 EAST 93RD   STREET New York, NY 10128
315 EAST 12TH STREET New York, NY 10003
70 LA SALLE New York, NY 10027
1642 YORK AVENUE New York, NY 10028
145 WEST 105TH STREET New York, NY 10025
20 CLINTON STREET New York, NY 10002
266 WEST 77TH STREET New York, NY 10024
7 WEST 96TH   STREET New York, NY 10025
222 ST NICHOLAS AVENUE                    New York, NY 10027
517 EAST 77TH STREET New York, NY 10075
215 EAST 79 STREET New York, NY 10075
WEST 125 STREET                           New York, NY 10027
217 EAST 3RD   STREET New York, NY 10009
268 WEST 84TH STREET                      New York, NY 10024
464 11TH   AVENUE                         New York, NY 10018
243 THIRD AVENUE                          New York, NY 10003
525 EAST 89TH STREET New York, NY 10128
400 FIFTH AVENUE                          New York, NY 10018
13 EAST 11TH   STREET                     New York, NY 10003
115 NASSAU STREET New York, NY 10038
21 EAST 66TH STREET New York, NY 10065
530 EAST 76TH   STREET                    New York, NY 10021
1075 PARK AVE New York, NY 10128
180 EAST END New York, NY 10128
234 EAST 88TH   STREET                    New York, NY 10128
2280 FREDRICK DOUGLAS BOU New York, NY 10027
47 3 AVENUE                               New York, NY 10003
245 WEST 132ND STREET                     New York, NY 10027
401 EAST 89TH STREET                      New York, NY 10128
300 ALBANY ST New York, NY 10280
112 WEST 129 STREET                       New York, NY 10027
30 WEST 39TH   STREET                     New York, NY 10018
134 EAST 93RD STREET                      New York, NY 10128
737 PARK AVENUE New York, NY 10021
35 EAST 9TH STREET New York, NY 10003
55 EAST 9TH ST New York, NY 10003
64 EAST 94TH STREET New York, NY 10128
24 1ST AVENUE                             New York, NY 10009
334 EAST 83 STREET New York, NY 10028
643 EAST 11TH STREET New York, NY 10009
2162 BROADWAY New York, NY 10024
135 EAST 83RD New York, NY 10028
190 SPRING STREET                         New York, NY 10012
417 EAST 90TH   STREET New York, NY 10128
6-16 WEST 77TH STREE New York, NY 10024
215 WEST 95 STREET                        New York, NY 10025
502 NINTH AVENUE New York, NY 10018
151 EAST 83RD   STREET New York, NY 10028
215 WEST 90TH   STREET New York, NY 10024
108 WEST 129 STREET                       New York, NY 10027
120 EAST 90TH STREET                      New York, NY 10128
340 RIVERSIDE DRIVE New York, NY 10025
250 WEST 90TH STREET                      New York, NY 10024
223 EAST 3RD STREET New York, NY 10009
118 SUFFOLK STREET New York, NY 10002
570 GRAND STREET New York, NY 10002
501 WEST 123RD ST New York, NY 10027
501 WEST 122ND STREET New York, NY 10027
537 WEST 27TH   STREET                    New York, NY 10001
213 WEST 85TH STREET                      New York, NY 10024
209 EAST 2ND   STREET                     New York, NY 10009
354 BOWERY                                New York, NY 10012
275 WEST 96 STREET                        New York, NY 10025
215 EAST 81ST STREET New York, NY 10028
507 EAST 84TH   STREET New York, NY 10028
208 EAST 18TH STREET                      New York, NY 10003
124 THOMPSON STREET New York, NY 10012
446 WEST 34TH   STREET New York, NY 10001
298 ELIZABETH STREET                      New York, NY 10012
80 LASALLE STREET New York, NY 10027
70 WEST 107 STREET                        New York, NY 10025
783 MADISON AVENUE                        New York, NY 10065
233 WEST 26TH   STREET New York, NY 10001
211 CENTRAL PARK WEST New York, NY 10024
318 2ND AVENUE New York, NY 10003
330 EAST 75TH STREET                      New York, NY 10021
732-734 WEST END AVE                      New York, NY 10025
345 EAST 93RD STREET New York, NY 10128
80 MAIDEN LANE                            New York, NY 10038
314 EAST 91ST STREET                      New York, NY 10128
156 EAST 89TH STREET                      New York, NY 10128
176 WEST 87 STREET New York, NY 10024
800 WEST END AVENUE New York, NY 10025
44 EAST 65TH STREET New York, NY 10065
15 UNION SQUARE WEST New York, NY 10003
62 WEST 89TH STREET New York, NY 10024
217 WEST 123 STREET                       New York, NY 10027
408 WEST 25TH New York, NY 10001
110 RIVERSIDE DRIVE New York, NY 10024
148 WEST 127 STREET                       New York, NY 10027
321 ST. NICHOLAS AVENUE New York, NY 10027
323 EAST 79TH   STREET New York, NY 10075
225 WEST 83 STREET                        New York, NY 10024
400 WEST END AVENUE New York, NY 10024
1808 2 AVENUE                             New York, NY 10128
137 ESSEX STREET                          New York, NY 10002
401 EAST 65TH STREET New York, NY 10065
55 EAST 87TH New York, NY 10128
530 EAST 76TH STREET                      New York, NY 10021
260 5 AVENUE                              New York, NY 10001
310 WEST 86TH   STREET New York, NY 10024
24 LUDLOW STREET                          New York, NY 10002
340 EAST 72ND STREET New York, NY 10021
1293 1 AVENUE                             New York, NY 10021
119 HESTER STREET                         New York, NY 10002
350 EAST 82ND   STREET New York, NY 10028
372 CENTRAL PARK WEST New York, NY 10025
36 WEST 96TH   STREET                     New York, NY 10025
240 EAST 79TH   STREET New York, NY 10075
66 3 AVENUE                               New York, NY 10003
154 WEST 77TH STREET New York, NY 10024
255 WEST 131ST STREET                     New York, NY 10027
225 1ST AVENUE                            New York, NY 10003
36 WEST 84TH STREET New York, NY 10024
326 WEST 83RD ST New York, NY 10024
580 PARK AVENUE New York, NY 10065
327 EAST 84TH   STREET                    New York, NY 10028
225 WEST 78TH STREET                      New York, NY 10024
19 WEST 96TH   STREET                     New York, NY 10025
11 5 AVENUE New York, NY 10003
330 EAST 79 STREET New York, NY 10075
1676 THIRD AVENUE                         New York, NY 10128
513 EAST 86TH   STREET New York, NY 10028
124 EAST 79TH ST                          New York, NY 10075
239-241 3RD AVENUE                        New York, NY 10003
572 GRAND ST New York, NY 10002
131 WEST 122ND ST                         New York, NY 10027
525 EAST 89TH   STREET New York, NY 10128
290 GRAND STREET                          New York, NY 10002
1409 SECOND AVENUE                        New York, NY 10021
254 EAST 7TH STREET New York, NY 10009
173 EAST BROADWAY New York, NY 10002
40 EAST 19TH   STREET New York, NY 10003
170 EAST 92ND STREET New York, NY 10128
625 PARK AVENUE New York, NY 10065
1045 MADISON AVENUE New York, NY 10075
433 WEST 34TH   STREET                    New York, NY 10001
229 EAST 14 STREET New York, NY 10003
135 EAST 83 STREET                        New York, NY 10028
1150 5 AVENUE New York, NY 10128
128 EAST 93RD STREET                      New York, NY 10128
341/2 SAINT MARKS PLACE                   New York, NY 10003
296 WEST 92ND   STREET                    New York, NY 10025
57 1 AVENUE                               New York, NY 10003
320-328 WEST 36TH STREET                  New York, NY 10018
309 EAST 12TH   STREET New York, NY 10003
157 EAST 84TH   STREET                    New York, NY 10028
236 BROOME STREET                         New York, NY 10002
316 SECOND AVENUE New York, NY 10003
215 EAST 89TH STREET New York, NY 10128
514 BROADWAY New York, NY 10012
330 EAST 75TH   STREET New York, NY 10021
115 4 AVENUE                              New York, NY 10003
210 EAST 95TH   STREET New York, NY 10128
58 WEST 129 STREET New York, NY 10027
3 AVENUE New York, NY 10128
944 FIFTH AVENUE New York, NY 10021
204 FORSYTH STREET New York, NY 10002
205 EAST 85TH   STREET New York, NY 10028
415 EAST 82ND   STREET New York, NY 10028
420 EAST 66TH   STREET                    New York, NY 10065
44 STUYVESANT STREET                      New York, NY 10003
17-23 EAST BROADWAY New York, NY 10002
201 EAST 15TH ST New York, NY 10003
128 MANHATTAN AVENUE                      New York, NY 10025
133 NORFOLK STREET                        New York, NY 10002
71 NASSAU STREET                          New York, NY 10038
2770 BROADWAY                             New York, NY 10025
193 BLEECKER STREET New York, NY 10012
315 EAST 77TH STREET New York, NY 10075
250 EAST 87 ST New York, NY 10028
135 WEST 120TH STREET                     New York, NY 10027
955 PARK AVENUE New York, NY 10028
301 EAST 79 STREET                        New York, NY 10075
167 EAST 67 STREET New York, NY 10065
138 1 AVENUE New York, NY 10009
339 EAST 85TH STREET New York, NY 10028
120 EAST 90TH ST                          New York, NY 10128
510 WEST 28TH   STREET New York, NY 10001
117-119 EAST 7TH   STREET                 New York, NY 10009
300 ALBANY STREET                         New York, NY 10280
350 EAST 72 STREET                        New York, NY 10021
127 AVENUE D                              New York, NY 10009
108 EAST 78TH STREET New York, NY 10075
47 EAST 91ST STREET New York, NY 10128
5 ST NICHOLAS TERRACE New York, NY 10027
1115 MADISON AVENUE New York, NY 10028
42 WEST 120TH STREET                      New York, NY 10027
36 CONVENT AVENUE New York, NY 10027
173 EAST 71ST STREET                      New York, NY 10021
27 EAST 65 STREET New York, NY 10065
1491 1 AVENUE                             New York, NY 10075
216 EAST 84TH   STREET                    New York, NY 10028
701 MADISON AVENUE                        New York, NY 10065
7 EAST 17 STREET                          New York, NY 10003
1169 2ND AVENUE                           New York, NY 10065
68 THOMPSON STREET New York, NY 10012
64 EAST 94TH   STREET New York, NY 10128
1016 FIFTH AVENUE New York, NY 10028
115 EAST 10TH   STREET New York, NY 10003
530 PARK AVENUE New York, NY 10065
145 WEST 87TH   STREET                    New York, NY 10024
125 MAIDEN LANE                           New York, NY 10038
1523 2 AVENUE New York, NY 10075
192 EAST 3RD   STREET                     New York, NY 10009
41 5 AVENUE New York, NY 10003
423 WEST 126 STREET New York, NY 10027
125 WEST 92ND ST New York, NY 10025
616 EAST 9TH STREET New York, NY 10009
171 EAST 84TH   STREET                    New York, NY 10028
230 EAST 15TH STREET New York, NY 10003
148 EAST 74TH   STREET New York, NY 10021
210 EAST 63RD   STREET New York, NY 10065
62 WEST 126 STREET                        New York, NY 10027
33 WEST 94TH   STREET                     New York, NY 10025
135 EAST 93RD   STREET                    New York, NY 10128
21 EAST 83RD   STREET                     New York, NY 10028
620 PARK AVENUE New York, NY 10065
50 EAST 1ST STREET New York, NY 10003
263 WEST 131 STREET New York, NY 10027
49 ANN STREET                             New York, NY 10038
125 WEST 92ND STREET New York, NY 10025
529 EAST 84TH STREET New York, NY 10028
170 EAST 77TH STREET                      New York, NY 10075
522 EAST 88TH STREET New York, NY 10128
109-111 WEST 94TH STREET New York, NY 10025
283-285 EAST 4TH STREET New York, NY 10009
11 EAST 86TH   STREET                     New York, NY 10028
215 EAST 81ST STREET                      New York, NY 10028
112 WEST 129TH STREET                     New York, NY 10027
166 EAST 63 STREET New York, NY 10065
425 WEST END AVE New York, NY 10024
237 WEST 26TH   STREET                    New York, NY 10001
312 WEST 107TH STREET New York, NY 10025
325 EAST 79TH STREET New York, NY 10075
73 FIFTH AVENUE New York, NY 10003
304 WEST 104 STREET                       New York, NY 10025
248 ELIZABETH STREET New York, NY 10012
205 3 AVENUE New York, NY 10003
1103 PARK AVENUE New York, NY 10128
405 EAST 82ND ST New York, NY 10028
332 EAST 18TH   STREET                    New York, NY 10003
186 W. 80TH STREET                        New York, NY 10024
90 BEEKMAN STREET New York, NY 10038
1128 PARK AVENUE New York, NY 10128
340 WEST 85TH   STREET New York, NY 10024
30 ORCHARD STREET                         New York, NY 10002
142 WEST 32ND STREET                      New York, NY 10001
139 EAST 63RD ST. New York, NY 10065
575 GRAND STREET New York, NY 10002
327 CENTRAL PARK WEST New York, NY 10025
615-617 WEST 113TH STREET New York, NY 10025
17 WEST 106TH STREET New York, NY 10025
260 WEST 122 STREET                       New York, NY 10027
331 EAST 8TH   STREET                     New York, NY 10009
353 EAST 72 STREET New York, NY 10021
430 WEST 34TH   STREET New York, NY 10001
230 EAST 18 STREET New York, NY 10003
7 EAST 17TH   STREET                      New York, NY 10003
415 WEST 120 STREET New York, NY 10027
29 CONVENT AVE New York, NY 10027
308 EAST 81ST   STREET                    New York, NY 10028
40 WEST 38TH   STREET                     New York, NY 10018
40 EAST 83RD New York, NY 10028
136 EAST 79TH STREET New York, NY 10075
200 EAST 66TH ST                          New York, NY 10065
468-470 9 AVENUE New York, NY 10018
149 BOWERY                                New York, NY 10002
8 EAST 83 STREET New York, NY 10028
1440 BROADWAY New York, NY 10018
1388 LEXINGTON AVE New York, NY 10128
PRINCE STREET                             New York, NY 10012
215 WEST 88TH ST                          New York, NY 10024
38 STUYVESANT STREET                      New York, NY 10003
330 EAST 75TH STREET New York, NY 10021
160 EAST 2ND STREET New York, NY 10009
404 EAST 79TH   STREET New York, NY 10075
360 WEST 28TH   STREET                    New York, NY 10001
219 EAST 12TH   STREET                    New York, NY 10003
80 EAST END AVENUE New York, NY 10028
1585 2 AVENUE                             New York, NY 10028
60 E 9TH STREET New York, NY 10003
1185 PARK AVENUE New York, NY 10128
30 EAST 85TH STREET                       New York, NY 10028
39 WEST 38TH STREET                       New York, NY 10018
20 WEST 77TH STREET                       New York, NY 10024
130 EAST 12TH   STREET                    New York, NY 10003
435 EAST 77TH STREET New York, NY 10075
99 JOHN ST New York, NY 10038
70 EAST 77TH STREET New York, NY 10075
55 W 95TH STREET New York, NY 10025
265 WEST 123RD STREET                     New York, NY 10027
1 EAST 62ND   STREET                      New York, NY 10065
159 WEST 120 STREET                       New York, NY 10027
405 EAST 73RD   STREET                    New York, NY 10021
225 W 83 ST New York, NY 10024
34 HORATIO STREET New York, NY 10012
97 2 AVENUE New York, NY 10003
241 WATER STREET New York, NY 10038
231-239 EAST 94TH STREET                  New York, NY 10128
564 WEST 126 STREET                       New York, NY 10027
122 EAST 82ND   STREET New York, NY 10028
29 WEST 28TH   STREET                     New York, NY 10001
252 EAST 89TH ST New York, NY 10128
295 EAST 10TH   STREET                    New York, NY 10002
408 WEST 34TH STREET                      New York, NY 10001
54 WEST 120 STREET                        New York, NY 10027
256 WEST 38TH   STREET New York, NY 10018
131 WEST 80TH STREET                      New York, NY 10024
1291 LEXINGTON AVENUE                     New York, NY 10128
112 WEST 88TH   STREET                    New York, NY 10024
271 WEST 122ND STREET                     New York, NY 10027
55 EAST 93RD   STREET                     New York, NY 10128
318 WEST 100TH STREET                     New York, NY 10025
205 WEST 103RD STREET New York, NY 10025
114 EAST 13TH STREET                      New York, NY 10003
788 AMSTERDAM AVENUE New York, NY 10025
1542 SECOND AVENUE                        New York, NY 10028
315 EAST 72ND   STREET New York, NY 10021
223 HENRY STREET                          New York, NY 10002
24 SPRING STREET                          New York, NY 10012
377 RECTOR PLACE New York, NY 10280
20 WEST 84 STREET                         New York, NY 10024
322 EAST 77TH   STREET                    New York, NY 10075
431 WEST 121ST New York, NY 10027
121 EAST 88TH STREET New York, NY 10128
49 WEST 29TH   STREET                     New York, NY 10001
1-2 RIVER TERRACE                         New York, NY 10280
228 EAST BROADWAY                         New York, NY 10002
100 WEST 39TH   STREET                    New York, NY 10018
34 WEST 36 ST                             New York, NY 10018
11 EAST 89TH   STREET                     New York, NY 10128
171 EAST 84TH STREET New York, NY 10028
320 WEST 104TH STREET New York, NY 10025
